flow_id,src_device_id,dst_device_id,src_ip,dst_ip,src_port,dst_port,protocol,bytes_sent,bytes_received,packet_count,duration_seconds,timestamp,status,severity
FLOW_000029,DEV_00228,DEV_00012,192.168.209.88,192.168.117.88,0,0,ICMP,4738615,36683023,6547,1066,2025-12-30T11:27:53.465149,success,low
FLOW_000030,DEV_00183,DEV_00269,192.168.46.187,192.168.226.12,65436,162,UDP,34014092,25085345,7180,48,2025-12-27T22:27:53.465188,success,medium
FLOW_000031,DEV_00024,DEV_00216,192.168.129.39,192.168.2.116,32040,53,DNS,12068284,12677926,6240,2308,2026-01-01T19:27:53.465228,success,low
FLOW_000032,DEV_00044,DEV_00082,192.168.140.76,192.168.177.31,54576,53,DNS,11096512,40258822,6948,2293,2025-12-28T07:27:53.465265,success,medium
FLOW_000033,DEV_00245,DEV_00026,192.168.27.158,192.168.25.143,0,0,ICMP,15390663,47874355,1941,1060,2026-01-01T18:27:53.465309,success,low
FLOW_000034,DEV_00023,DEV_00255,192.168.213.74,192.168.19.14,32973,161,UDP,45244389,46367657,9073,2287,2025-12-31T07:27:53.465346,success,low
FLOW_000035,DEV_00236,DEV_00204,192.168.85.144,192.168.163.237,42966,53,UDP,40583971,28295378,4647,3421,2025-12-27T04:27:53.465384,success,low
FLOW_000036,DEV_00220,DEV_00014,192.168.243.233,192.168.73.174,0,0,ICMP,10179803,4346065,7283,48,2026-01-01T01:27:53.465419,success,low
FLOW_000037,DEV_00183,DEV_00298,192.168.46.187,192.168.54.108,42332,162,UDP,18469615,36414688,8967,513,2026-01-02T16:27:53.465457,success,low
FLOW_000038,DEV_00114,DEV_00138,192.168.143.132,192.168.222.31,46682,53,DNS,41210327,2757464,7151,564,2025-12-30T22:27:53.465495,success,low
FLOW_000039,DEV_00270,DEV_00228,192.168.168.230,192.168.209.88,2469,3389,TCP,4255471,5984992,4923,303,2025-12-31T10:27:53.465532,timeout,low
FLOW_000040,DEV_00128,DEV_00185,192.168.48.48,192.168.64.178,58245,123,UDP,47965138,27338875,1778,953,2025-12-31T10:27:53.465569,success,low
FLOW_000041,DEV_00075,DEV_00211,192.168.247.141,192.168.150.182,61209,161,UDP,21556645,37332343,8382,387,2025-12-29T10:27:53.465640,success,medium
FLOW_000042,DEV_00075,DEV_00211,192.168.247.141,192.168.150.182,0,0,ICMP,20272893,33258713,2379,1074,2026-01-01T09:27:53.465705,success,low
FLOW_000043,DEV_00099,DEV_00150,192.168.132.226,192.168.90.247,0,0,ICMP,26982208,4240010,7711,3095,2025-12-28T13:27:53.465745,blocked,high
FLOW_000044,DEV_00265,DEV_00065,192.168.20.187,192.168.103.129,0,0,ICMP,36688809,36308801,56,3549,2025-12-29T10:27:53.465783,success,low
FLOW_000045,DEV_00041,DEV_00228,192.168.76.52,192.168.209.88,0,0,ICMP,15198523,21907656,3036,1616,2025-12-27T00:27:53.465820,success,low
FLOW_000046,DEV_00276,DEV_00128,192.168.99.34,192.168.48.48,41560,53,DNS,20912281,34005717,6254,2324,2025-12-30T09:27:53.465857,success,medium
FLOW_000047,DEV_00134,DEV_00162,192.168.222.92,192.168.199.217,9158,3389,TCP,9044206,48478307,9825,2784,2025-12-31T18:27:53.465897,success,low
FLOW_000048,DEV_00185,DEV_00127,192.168.64.178,192.168.166.28,46556,53,DNS,23572829,7609474,1163,1944,2026-01-01T20:27:53.465934,success,medium
FLOW_000049,DEV_00276,DEV_00286,192.168.99.34,192.168.133.179,28630,53,DNS,16680200,27567722,2070,410,2025-12-28T05:27:53.465990,success,low
FLOW_000050,DEV_00195,DEV_00250,192.168.147.231,192.168.107.140,2647,3389,TCP,44027809,43709938,9388,1234,2026-01-01T06:27:53.466036,success,high
FLOW_000051,DEV_00025,DEV_00152,192.168.134.157,192.168.128.164,45746,53,DNS,49698244,37363119,7135,1767,2025-12-28T09:27:53.466078,success,low
FLOW_000052,DEV_00083,DEV_00008,192.168.107.180,192.168.111.25,0,0,ICMP,24440310,32885409,7269,1393,2025-12-27T23:27:53.466117,blocked,low
FLOW_000053,DEV_00158,DEV_00165,192.168.207.110,192.168.249.37,52224,514,UDP,40843274,1938964,6975,536,2025-12-31T02:27:53.466159,blocked,low
FLOW_000054,DEV_00196,DEV_00067,192.168.11.109,192.168.173.29,28466,161,UDP,47016464,19407342,897,445,2025-12-29T11:27:53.466197,success,low
FLOW_000055,DEV_00028,DEV_00005,192.168.80.47,192.168.160.163,57094,53,DNS,7946748,11737971,2502,1205,2025-12-31T18:27:53.466234,timeout,medium
FLOW_000056,DEV_00245,DEV_00243,192.168.27.158,192.168.225.217,0,0,ICMP,21206852,41156163,1113,1599,2026-01-02T09:27:53.466270,success,low
FLOW_000057,DEV_00052,DEV_00048,192.168.184.185,192.168.7.189,0,0,ICMP,35796565,34700046,6371,246,2026-01-02T15:27:53.466313,success,high
FLOW_000058,DEV_00075,DEV_00290,192.168.247.141,192.168.118.230,47617,53,DNS,37502504,8580112,3219,3583,2026-01-01T20:27:53.466379,success,low
FLOW_000059,DEV_00228,DEV_00007,192.168.209.88,192.168.187.25,0,0,ICMP,48202942,27417337,4320,3493,2025-12-31T22:27:53.466416,success,low
FLOW_000060,DEV_00057,DEV_00086,192.168.207.207,192.168.102.66,35676,5432,TCP,15355115,49353016,7853,1402,2025-12-31T06:27:53.466453,success,low
FLOW_000061,DEV_00273,DEV_00025,192.168.42.166,192.168.134.157,23984,53,DNS,24729433,17765634,8432,717,2025-12-30T09:27:53.466494,success,low
FLOW_000062,DEV_00120,DEV_00259,192.168.239.145,192.168.147.153,0,0,ICMP,24295466,18009082,782,129,2025-12-29T03:27:53.466531,success,low
FLOW_000063,DEV_00240,DEV_00174,192.168.178.149,192.168.115.227,13922,53,UDP,7476273,9391562,3181,632,2025-12-28T22:27:53.466568,success,low
FLOW_000064,DEV_00252,DEV_00044,192.168.227.83,192.168.140.76,60083,53,DNS,13843312,16300588,4818,2643,2025-12-26T20:27:53.466606,success,low
FLOW_000065,DEV_00099,DEV_00286,192.168.132.226,192.168.133.179,12146,53,DNS,31858879,23731820,216,2684,2025-12-27T22:27:53.466644,success,medium
FLOW_000066,DEV_00199,DEV_00127,192.168.147.156,192.168.166.28,22582,3306,TCP,2228123,25945259,9985,3248,2025-12-31T06:27:53.466681,success,low
FLOW_000067,DEV_00137,DEV_00118,192.168.254.109,192.168.216.159,0,0,ICMP,20507474,793011,595,3514,2025-12-26T22:27:53.466717,success,low
FLOW_000068,DEV_00203,DEV_00227,192.168.215.15,192.168.190.30,19806,53,DNS,28520337,23175500,2832,1143,2025-12-30T23:27:53.466755,success,low
FLOW_000069,DEV_00135,DEV_00220,192.168.43.22,192.168.243.233,35871,3306,TCP,35908725,24268796,1090,1947,2025-12-27T06:27:53.466798,success,low
FLOW_000070,DEV_00055,DEV_00008,192.168.158.137,192.168.111.25,0,0,ICMP,9870710,36012788,7489,2058,2025-12-28T05:27:53.466836,success,medium
FLOW_000071,DEV_00291,DEV_00298,192.168.133.138,192.168.54.108,35606,53,DNS,46345475,40188272,1008,1254,2025-12-30T08:27:53.466877,success,medium
FLOW_000072,DEV_00054,DEV_00142,192.168.42.83,192.168.244.125,10037,53,DNS,25289549,15606346,606,3319,2026-01-01T18:27:53.466913,blocked,critical
FLOW_000073,DEV_00196,DEV_00130,192.168.11.109,192.168.221.126,9687,123,UDP,37362762,43533451,3719,2427,2025-12-28T21:27:53.466950,success,low
FLOW_000074,DEV_00053,DEV_00079,192.168.133.89,192.168.173.194,44247,139,TCP,33552463,2018973,6430,3347,2026-01-01T00:27:53.466987,blocked,low
FLOW_000075,DEV_00265,DEV_00264,192.168.20.187,192.168.92.199,38908,139,TCP,14233294,11259843,2397,497,2026-01-02T05:27:53.467062,blocked,low
FLOW_000076,DEV_00002,DEV_00010,192.168.151.83,192.168.30.196,35235,8443,TCP,30958031,29123368,6226,470,2026-01-02T05:27:53.467116,blocked,low
FLOW_000077,DEV_00286,DEV_00247,192.168.133.179,192.168.115.46,1758,53,DNS,19828870,12707219,6115,1572,2026-01-01T17:27:53.467157,success,high
FLOW_000078,DEV_00284,DEV_00149,192.168.112.23,192.168.161.192,0,0,ICMP,43027168,5707868,9670,2091,2026-01-02T04:27:53.467194,success,low
FLOW_000079,DEV_00282,DEV_00071,192.168.199.181,192.168.77.58,21296,162,UDP,39507195,21232822,1610,143,2026-01-02T16:27:53.467238,success,medium
FLOW_000080,DEV_00075,DEV_00290,192.168.247.141,192.168.118.230,25276,161,UDP,22107368,49807929,9649,1554,2025-12-29T00:27:53.467310,blocked,low
FLOW_000081,DEV_00024,DEV_00225,192.168.129.39,192.168.61.1,59802,53,DNS,28325530,18030409,1517,303,2026-01-02T13:27:53.467352,blocked,low
FLOW_000082,DEV_00045,DEV_00048,192.168.115.11,192.168.7.189,1127,162,UDP,36349874,21738742,1657,1634,2025-12-27T03:27:53.467389,blocked,high
FLOW_000083,DEV_00241,DEV_00022,192.168.247.88,192.168.78.204,51683,139,TCP,13062661,28849966,6886,2246,2025-12-31T13:27:53.467427,success,low
FLOW_000084,DEV_00291,DEV_00290,192.168.133.138,192.168.118.230,26479,53,DNS,1035363,35430525,3845,2212,2025-12-29T02:27:53.467464,success,low
FLOW_000085,DEV_00061,DEV_00243,192.168.24.242,192.168.225.217,41287,53,DNS,24433388,2055971,6088,3289,2025-12-27T09:27:53.467501,success,low
FLOW_000086,DEV_00292,DEV_00233,192.168.122.81,192.168.83.62,46454,53,DNS,8489653,1495080,1435,544,2025-12-29T02:27:53.467538,blocked,medium
FLOW_000087,DEV_00268,DEV_00297,192.168.195.125,192.168.221.67,1986,161,UDP,5278836,37131167,105,3118,2025-12-27T14:27:53.467576,success,low
FLOW_000088,DEV_00237,DEV_00185,192.168.213.163,192.168.64.178,0,0,ICMP,7904084,30908472,7983,1872,2025-12-30T14:27:53.467612,success,low
FLOW_000089,DEV_00152,DEV_00199,192.168.128.164,192.168.147.156,5914,53,UDP,36360398,45162638,9044,593,2025-12-30T17:27:53.467649,success,medium
FLOW_000090,DEV_00071,DEV_00225,192.168.77.58,192.168.61.1,0,0,ICMP,9456629,40477384,7833,1370,2025-12-28T05:27:53.467685,success,low
FLOW_000091,DEV_00136,DEV_00189,192.168.191.198,192.168.250.49,0,0,ICMP,7062354,37148353,5688,2790,2025-12-30T13:27:53.467725,success,medium
FLOW_000092,DEV_00075,DEV_00290,192.168.247.141,192.168.118.230,56396,514,UDP,9498416,8477864,6025,2036,2026-01-02T16:27:53.467791,success,low
FLOW_000093,DEV_00033,DEV_00206,192.168.116.232,192.168.220.57,47169,161,UDP,27515321,18462351,875,1882,2025-12-31T21:27:53.467829,success,low
FLOW_000094,DEV_00241,DEV_00091,192.168.247.88,192.168.115.154,37723,514,UDP,22018407,48393610,4597,21,2026-01-02T02:27:53.467866,success,low
FLOW_000095,DEV_00265,DEV_00094,192.168.20.187,192.168.39.77,18182,162,UDP,16131089,6045901,2242,1720,2026-01-01T22:27:53.467903,success,high
FLOW_000096,DEV_00192,DEV_00004,192.168.68.24,192.168.110.176,4885,53,DNS,37746035,43049122,976,375,2026-01-01T11:27:53.467943,success,high
FLOW_000097,DEV_00238,DEV_00056,192.168.66.157,192.168.243.165,13209,8443,TCP,5427249,2927361,5952,932,2025-12-29T00:27:53.467982,success,low
FLOW_000098,DEV_00017,DEV_00238,192.168.221.81,192.168.66.157,29216,3389,TCP,21066250,45666704,250,19,2025-12-28T13:27:53.468031,success,medium
FLOW_000099,DEV_00045,DEV_00260,192.168.115.11,192.168.37.42,0,0,ICMP,46917708,19665384,3729,3321,2025-12-26T19:27:53.468069,success,low
FLOW_000100,DEV_00285,DEV_00295,192.168.243.199,192.168.102.57,57218,162,UDP,23126739,8825255,9761,1054,2025-12-30T17:27:53.468106,timeout,medium
FLOW_000101,DEV_00046,DEV_00265,192.168.218.156,192.168.20.187,32096,123,UDP,20861200,36132841,1364,874,2026-01-01T22:27:53.468147,success,low
FLOW_000102,DEV_00288,DEV_00207,192.168.58.156,192.168.154.206,13028,53,UDP,31425306,19915992,3505,3210,2025-12-29T20:27:53.468189,success,low
FLOW_000103,DEV_00124,DEV_00174,192.168.131.192,192.168.115.227,35754,53,UDP,27221573,18321389,8950,1784,2026-01-02T07:27:53.468226,success,low
FLOW_000104,DEV_00113,DEV_00130,192.168.2.242,192.168.221.126,0,0,ICMP,36719551,20377017,2907,1303,2025-12-31T06:27:53.468263,success,critical
FLOW_000105,DEV_00153,DEV_00209,192.168.45.196,192.168.87.254,4132,161,UDP,22413957,3561766,7309,3344,2025-12-28T23:27:53.468304,blocked,medium
FLOW_000106,DEV_00230,DEV_00172,192.168.221.176,192.168.51.232,0,0,ICMP,26646741,10700995,3384,2313,2025-12-31T18:27:53.468341,success,low
FLOW_000107,DEV_00075,DEV_00218,192.168.247.141,192.168.188.64,0,0,ICMP,33110573,42207821,5080,2993,2026-01-02T09:27:53.468407,success,low
FLOW_000108,DEV_00052,DEV_00043,192.168.184.185,192.168.250.48,52070,139,TCP,26031644,6358981,9857,2813,2026-01-02T12:27:53.468444,success,medium
FLOW_000109,DEV_00228,DEV_00200,192.168.209.88,192.168.13.191,47075,443,TCP,11287145,42536778,399,1664,2025-12-27T02:27:53.468482,success,low
FLOW_000110,DEV_00138,DEV_00043,192.168.222.31,192.168.250.48,59545,53,UDP,44752411,9075444,2995,1793,2025-12-30T08:27:53.468519,success,high
FLOW_000111,DEV_00031,DEV_00006,192.168.232.214,192.168.167.225,28397,53,UDP,5297667,21441888,1828,1382,2025-12-31T10:27:53.468562,blocked,high
FLOW_000112,DEV_00178,DEV_00133,192.168.91.240,192.168.178.236,59390,53,DNS,2146954,29397922,4638,180,2025-12-28T10:27:53.468600,success,low
FLOW_000113,DEV_00067,DEV_00239,192.168.173.29,192.168.238.163,24214,3389,TCP,45236266,24572512,469,945,2026-01-02T00:27:53.468637,success,critical
FLOW_000114,DEV_00111,DEV_00157,192.168.70.201,192.168.128.244,46245,3389,TCP,7953674,201708,4555,1427,2026-01-01T08:27:53.468674,blocked,medium
FLOW_000115,DEV_00260,DEV_00146,192.168.37.42,192.168.181.25,36594,5432,TCP,42068029,41166752,1546,907,2025-12-26T17:27:53.468711,success,low
FLOW_000116,DEV_00280,DEV_00184,192.168.177.206,192.168.85.191,0,0,ICMP,25085381,46038437,9301,1395,2026-01-01T03:27:53.468748,success,low
FLOW_000117,DEV_00075,DEV_00290,192.168.247.141,192.168.118.230,62665,53,DNS,43226618,1290038,6527,2340,2025-12-29T03:27:53.468812,blocked,high
FLOW_000118,DEV_00038,DEV_00281,192.168.91.62,192.168.157.71,29809,53,DNS,17634157,2958851,3968,1962,2025-12-28T08:27:53.468849,success,low
FLOW_000119,DEV_00112,DEV_00100,192.168.205.64,192.168.222.57,0,0,ICMP,15101493,1376583,55,1609,2025-12-28T11:27:53.468886,success,medium
FLOW_000120,DEV_00172,DEV_00168,192.168.51.232,192.168.43.116,11554,8080,TCP,741934,4890895,8091,871,2025-12-29T15:27:53.468924,success,low
FLOW_000121,DEV_00147,DEV_00055,192.168.253.221,192.168.158.137,17720,53,DNS,39065039,4103693,3070,2710,2025-12-27T14:27:53.468965,success,low
FLOW_000122,DEV_00158,DEV_00171,192.168.207.110,192.168.32.4,2022,22,TCP,38340580,2673302,6920,3437,2026-01-02T05:27:53.469010,success,low
FLOW_000123,DEV_00277,DEV_00286,192.168.193.31,192.168.133.179,17622,53,DNS,935899,10164865,1921,363,2025-12-29T14:27:53.469050,success,low
FLOW_000124,DEV_00004,DEV_00146,192.168.110.176,192.168.181.25,0,0,ICMP,22420030,37753722,9127,3236,2025-12-27T21:27:53.469090,success,medium
FLOW_000125,DEV_00045,DEV_00089,192.168.115.11,192.168.251.77,12000,53,DNS,3115710,15498567,3946,1717,2025-12-31T19:27:53.469127,success,medium
FLOW_000126,DEV_00190,DEV_00182,192.168.141.216,192.168.203.164,17790,162,UDP,31096152,1655280,9772,517,2026-01-02T16:27:53.469164,blocked,low
FLOW_000127,DEV_00083,DEV_00117,192.168.107.180,192.168.185.161,13413,8443,TCP,47004761,11291065,1631,2651,2025-12-27T05:27:53.469202,success,low
FLOW_000128,DEV_00269,DEV_00064,192.168.226.12,192.168.212.254,1304,53,DNS,37953074,6339427,7116,436,2026-01-01T12:27:53.469241,success,low
FLOW_000129,DEV_00282,DEV_00283,192.168.199.181,192.168.202.87,39594,8080,TCP,38183369,31121835,7717,686,2026-01-01T16:27:53.469285,success,low
FLOW_000130,DEV_00174,DEV_00122,192.168.115.227,192.168.123.150,51197,53,DNS,4507717,36741457,6161,2494,2026-01-01T01:27:53.469324,success,low
FLOW_000131,DEV_00261,DEV_00142,192.168.19.75,192.168.244.125,0,0,ICMP,3585085,44114550,1582,2105,2026-01-01T05:27:53.469364,success,medium
FLOW_000132,DEV_00028,DEV_00092,192.168.80.47,192.168.75.60,20327,514,UDP,8553851,41961397,3756,555,2026-01-01T01:27:53.469400,success,low
FLOW_000133,DEV_00143,DEV_00109,192.168.127.69,192.168.151.37,50130,514,UDP,7362361,4431901,6915,1475,2025-12-27T13:27:53.469438,success,low
FLOW_000134,DEV_00075,DEV_00211,192.168.247.141,192.168.150.182,3390,3306,TCP,3403034,18589135,2455,898,2026-01-01T07:27:53.469503,success,low
FLOW_000135,DEV_00066,DEV_00053,192.168.82.42,192.168.133.89,48069,123,UDP,2780341,8767388,8256,384,2025-12-29T06:27:53.469541,success,low
FLOW_000136,DEV_00101,DEV_00002,192.168.214.63,192.168.151.83,47898,3389,TCP,15489437,29526011,7496,1883,2025-12-29T21:27:53.469578,success,low
FLOW_000137,DEV_00115,DEV_00068,192.168.100.200,192.168.162.185,2525,443,TCP,40145626,6017003,6821,2797,2026-01-01T22:27:53.469615,success,low
FLOW_000138,DEV_00082,DEV_00273,192.168.177.31,192.168.42.166,62897,53,UDP,17694737,16639171,8877,3364,2025-12-30T18:27:53.469653,success,low
FLOW_000139,DEV_00291,DEV_00042,192.168.133.138,192.168.74.92,8791,162,UDP,32671908,939094,8219,229,2025-12-29T19:27:53.469690,success,medium
FLOW_000140,DEV_00214,DEV_00202,192.168.129.31,192.168.223.96,50381,53,DNS,25713848,15694707,6465,627,2026-01-01T19:27:53.469728,success,medium
FLOW_000141,DEV_00031,DEV_00157,192.168.232.214,192.168.128.244,0,0,ICMP,20166521,44025332,602,1807,2025-12-29T02:27:53.469767,success,low
FLOW_000142,DEV_00097,DEV_00117,192.168.186.172,192.168.185.161,1583,53,DNS,43434515,40568643,6185,686,2025-12-28T20:27:53.469805,success,medium
FLOW_000143,DEV_00223,DEV_00061,192.168.70.160,192.168.24.242,64505,443,TCP,17161609,14525286,6742,2726,2026-01-01T05:27:53.469867,blocked,medium
FLOW_000144,DEV_00285,DEV_00165,192.168.243.199,192.168.249.37,0,0,ICMP,6805734,45578950,8442,3483,2025-12-28T05:27:53.469905,success,high
FLOW_000145,DEV_00253,DEV_00051,192.168.230.167,192.168.203.36,42932,53,DNS,48610733,20880009,1396,2696,2025-12-27T07:27:53.469943,success,low
FLOW_000146,DEV_00287,DEV_00174,192.168.91.172,192.168.115.227,9804,161,UDP,30932793,12526572,6000,2731,2026-01-02T02:27:53.469981,success,low
FLOW_000147,DEV_00104,DEV_00018,192.168.142.106,192.168.206.243,6180,161,UDP,44859765,35500823,8193,1662,2026-01-02T09:27:53.470030,success,medium
FLOW_000148,DEV_00240,DEV_00200,192.168.178.149,192.168.13.191,0,0,ICMP,30436077,26936029,9624,2917,2025-12-30T20:27:53.470069,success,high
FLOW_000149,DEV_00172,DEV_00103,192.168.51.232,192.168.60.18,0,0,ICMP,29298899,24878619,9255,1935,2025-12-30T19:27:53.470108,success,high
FLOW_000150,DEV_00258,DEV_00196,192.168.57.35,192.168.11.109,14696,5432,TCP,8487570,5306978,2911,1406,2025-12-30T15:27:53.470146,success,low
FLOW_000151,DEV_00294,DEV_00171,192.168.196.220,192.168.32.4,0,0,ICMP,22930560,12439719,6548,2441,2026-01-01T04:27:53.470192,success,high
FLOW_000152,DEV_00204,DEV_00155,192.168.163.237,192.168.236.53,8419,53,DNS,909172,30413859,4534,560,2025-12-31T03:27:53.470233,success,medium
FLOW_000153,DEV_00137,DEV_00093,192.168.254.109,192.168.16.143,62177,53,DNS,3532652,44808544,4348,2666,2025-12-27T21:27:53.470272,success,low
FLOW_000154,DEV_00213,DEV_00060,192.168.202.228,192.168.209.84,0,0,ICMP,20733133,14327236,924,1855,2025-12-27T15:27:53.470315,success,low
FLOW_000155,DEV_00054,DEV_00010,192.168.42.83,192.168.30.196,43335,80,TCP,33264783,35623514,5847,685,2026-01-01T04:27:53.470353,blocked,low
FLOW_000156,DEV_00229,DEV_00048,192.168.29.34,192.168.7.189,0,0,ICMP,14033587,24343713,4587,3028,2025-12-31T19:27:53.470391,success,high
FLOW_000157,DEV_00133,DEV_00138,192.168.178.236,192.168.222.31,8392,53,DNS,13018921,43138738,2690,3563,2025-12-26T19:27:53.470428,blocked,low
FLOW_000158,DEV_00211,DEV_00175,192.168.150.182,192.168.99.36,60329,162,UDP,31058021,30398157,2173,2365,2025-12-29T02:27:53.470465,success,low
FLOW_000159,DEV_00240,DEV_00002,192.168.178.149,192.168.151.83,60729,22,TCP,43332662,3130147,5860,3340,2026-01-01T01:27:53.470502,blocked,high
FLOW_000160,DEV_00189,DEV_00167,192.168.250.49,192.168.180.213,2683,443,TCP,32470383,45796426,2929,2988,2026-01-01T08:27:53.470541,success,low
FLOW_000161,DEV_00100,DEV_00062,192.168.222.57,192.168.226.216,40621,53,DNS,15214294,38498057,2032,3151,2025-12-31T09:27:53.470581,success,low
FLOW_000162,DEV_00045,DEV_00255,192.168.115.11,192.168.19.14,3323,123,UDP,8162090,13295413,6204,2550,2025-12-30T00:27:53.470618,success,low
FLOW_000163,DEV_00091,DEV_00014,192.168.115.154,192.168.73.174,48619,162,UDP,16517688,23083495,2104,2946,2025-12-29T17:27:53.470655,timeout,low
FLOW_000164,DEV_00110,DEV_00122,192.168.191.250,192.168.123.150,10905,162,UDP,15223036,46930034,3124,2139,2025-12-27T06:27:53.470692,success,low
FLOW_000165,DEV_00243,DEV_00114,192.168.225.217,192.168.143.132,0,0,ICMP,15209463,28402372,7003,357,2025-12-28T07:27:53.470729,success,low
FLOW_000166,DEV_00026,DEV_00284,192.168.25.143,192.168.112.23,34542,53,DNS,26111485,40744192,8166,3228,2026-01-01T10:27:53.470766,success,medium
FLOW_000167,DEV_00103,DEV_00197,192.168.60.18,192.168.102.142,1951,445,TCP,8367319,10467131,6505,409,2025-12-29T22:27:53.470803,success,high
FLOW_000168,DEV_00114,DEV_00287,192.168.143.132,192.168.91.172,6898,162,UDP,44709410,42296593,7132,2898,2025-12-30T21:27:53.470841,success,low
FLOW_000169,DEV_00103,DEV_00168,192.168.60.18,192.168.43.116,18237,53,DNS,9740858,14080894,3560,2830,2026-01-01T01:27:53.470878,success,low
