event_id,device_id,user_id,escalation_type,from_privilege_level,to_privilege_level,outcome,timestamp,severity
PRIVESC_000082,DEV_00068,USR_0038,runas,user,admin,failure,2025-12-31T02:27:53.814124,critical
PRIVESC_000083,DEV_00166,USR_0114,runas,user,admin,failure,2025-12-30T16:27:53.814132,critical
PRIVESC_000084,DEV_00215,USR_0101,selinux_bypass,guest,admin,failure,2025-12-31T11:27:53.814140,critical
PRIVESC_000085,DEV_00016,USR_0079,selinux_bypass,user,admin,failure,2026-01-02T03:27:53.814155,critical
PRIVESC_000086,DEV_00144,USR_0032,exploit,guest,admin,failure,2025-12-28T13:27:53.814164,critical
PRIVESC_000087,DEV_00032,USR_0027,sudo,user,admin,failure,2025-12-29T16:27:53.814172,critical
PRIVESC_000088,DEV_00020,USR_0062,exploit,user,admin,failure,2025-12-31T19:27:53.814180,critical
PRIVESC_000089,DEV_00251,USR_0138,registry_modification,guest,admin,failure,2025-12-30T17:27:53.814187,critical
PRIVESC_000090,DEV_00098,USR_0030,exploit,guest,admin,failure,2026-01-01T00:27:53.814195,critical
PRIVESC_000091,DEV_00252,USR_0107,sudo,user,admin,failure,2025-12-31T21:27:53.814204,critical
PRIVESC_000092,DEV_00073,USR_0010,selinux_bypass,guest,admin,failure,2025-12-27T15:27:53.814212,critical
PRIVESC_000093,DEV_00118,USR_0148,registry_modification,user,admin,failure,2025-12-29T20:27:53.814225,critical
PRIVESC_000094,DEV_00213,USR_0048,selinux_bypass,guest,admin,success,2025-12-27T17:27:53.814238,critical
PRIVESC_000095,DEV_00235,USR_0080,registry_modification,guest,admin,failure,2025-12-29T21:27:53.814250,critical
PRIVESC_000096,DEV_00199,USR_0112,selinux_bypass,user,admin,failure,2026-01-01T19:27:53.814262,critical
PRIVESC_000097,DEV_00230,USR_0002,exploit,guest,admin,failure,2025-12-29T19:27:53.814271,critical
PRIVESC_000098,DEV_00050,USR_0023,exploit,guest,admin,failure,2025-12-29T06:27:53.814280,critical
PRIVESC_000099,DEV_00067,USR_0123,exploit,user,admin,failure,2026-01-02T15:27:53.814289,critical
PRIVESC_000100,DEV_00140,USR_0041,exploit,guest,admin,failure,2026-01-01T03:27:53.814297,critical
PRIVESC_000101,DEV_00050,USR_0076,selinux_bypass,guest,admin,failure,2025-12-26T19:27:53.814305,critical
PRIVESC_000102,DEV_00069,USR_0108,runas,user,admin,failure,2025-12-29T10:27:53.814313,critical
PRIVESC_000103,DEV_00043,USR_0147,registry_modification,user,admin,success,2025-12-31T05:27:53.814321,critical
PRIVESC_000104,DEV_00167,USR_0069,sudo,guest,admin,failure,2026-01-01T05:27:53.814329,critical
PRIVESC_000105,DEV_00240,USR_0049,sudo,user,admin,success,2025-12-27T19:27:53.814337,critical
PRIVESC_000106,DEV_00280,USR_0006,runas,guest,admin,failure,2026-01-01T23:27:53.814349,critical
PRIVESC_000107,DEV_00283,USR_0087,exploit,user,admin,failure,2025-12-27T11:27:53.814357,critical
PRIVESC_000108,DEV_00185,USR_0078,exploit,guest,admin,failure,2026-01-02T03:27:53.814366,critical
PRIVESC_000109,DEV_00240,USR_0090,selinux_bypass,user,admin,failure,2025-12-29T13:27:53.814377,critical
PRIVESC_000110,DEV_00109,USR_0003,selinux_bypass,guest,admin,failure,2026-01-01T16:27:53.814384,critical
PRIVESC_000111,DEV_00021,USR_0121,selinux_bypass,user,admin,failure,2025-12-31T16:27:53.814393,critical
PRIVESC_000112,DEV_00063,USR_0071,exploit,guest,admin,failure,2025-12-29T19:27:53.814403,critical
PRIVESC_000113,DEV_00192,USR_0010,sudo,guest,admin,success,2025-12-29T17:27:53.814412,critical
PRIVESC_000114,DEV_00237,USR_0064,selinux_bypass,guest,admin,failure,2026-01-01T14:27:53.814420,critical
PRIVESC_000115,DEV_00084,USR_0012,runas,guest,admin,failure,2025-12-29T10:27:53.814428,critical
PRIVESC_000116,DEV_00236,USR_0009,runas,guest,admin,failure,2025-12-29T04:27:53.814436,critical
PRIVESC_000117,DEV_00107,USR_0067,registry_modification,user,admin,failure,2025-12-28T17:27:53.814446,critical
PRIVESC_000118,DEV_00144,USR_0047,selinux_bypass,guest,admin,success,2025-12-29T01:27:53.814454,critical
PRIVESC_000119,DEV_00276,USR_0006,registry_modification,guest,admin,failure,2025-12-28T03:27:53.814462,critical
PRIVESC_000120,DEV_00283,USR_0028,selinux_bypass,user,admin,failure,2025-12-30T10:27:53.814470,critical
PRIVESC_000121,DEV_00166,USR_0028,exploit,guest,admin,success,2025-12-30T20:27:53.814478,critical
PRIVESC_000122,DEV_00005,USR_0010,registry_modification,guest,admin,failure,2025-12-29T20:27:53.814486,critical
PRIVESC_000123,DEV_00288,USR_0055,exploit,user,admin,success,2025-12-29T08:27:53.814494,critical
PRIVESC_000124,DEV_00111,USR_0067,selinux_bypass,user,admin,success,2025-12-27T16:27:53.814502,critical
PRIVESC_000125,DEV_00285,USR_0121,registry_modification,guest,admin,failure,2025-12-28T03:27:53.814510,critical
PRIVESC_000126,DEV_00091,USR_0082,exploit,user,admin,failure,2025-12-29T23:27:53.814518,critical
PRIVESC_000127,DEV_00204,USR_0133,sudo,user,admin,success,2025-12-30T11:27:53.814526,critical
PRIVESC_000128,DEV_00117,USR_0138,exploit,guest,admin,failure,2025-12-28T00:27:53.814535,critical
PRIVESC_000129,DEV_00271,USR_0109,selinux_bypass,guest,admin,success,2026-01-02T01:27:53.814544,critical
PRIVESC_000130,DEV_00116,USR_0116,runas,user,admin,success,2026-01-01T08:27:53.814552,critical
PRIVESC_000131,DEV_00005,USR_0063,runas,user,admin,failure,2025-12-26T23:27:53.814560,critical
PRIVESC_000132,DEV_00252,USR_0018,exploit,user,admin,failure,2025-12-29T00:27:53.814568,critical
PRIVESC_000133,DEV_00229,USR_0075,selinux_bypass,user,admin,failure,2026-01-02T03:27:53.814576,critical
PRIVESC_000134,DEV_00004,USR_0038,registry_modification,user,admin,failure,2025-12-30T03:27:53.814583,critical
PRIVESC_000135,DEV_00191,USR_0130,exploit,guest,admin,failure,2026-01-01T06:27:53.814592,critical
PRIVESC_000136,DEV_00037,USR_0012,sudo,guest,admin,failure,2025-12-29T07:27:53.814599,critical
PRIVESC_000137,DEV_00264,USR_0128,registry_modification,guest,admin,failure,2025-12-28T15:27:53.814608,critical
PRIVESC_000138,DEV_00122,USR_0145,sudo,guest,admin,failure,2025-12-30T07:27:53.814616,critical
PRIVESC_000139,DEV_00223,USR_0144,selinux_bypass,guest,admin,failure,2025-12-27T03:27:53.814624,critical
PRIVESC_000140,DEV_00171,USR_0069,runas,user,admin,success,2025-12-26T20:27:53.814633,critical
PRIVESC_000141,DEV_00218,USR_0007,exploit,user,admin,success,2025-12-30T04:27:53.814641,critical
PRIVESC_000142,DEV_00274,USR_0044,registry_modification,guest,admin,failure,2025-12-28T01:27:53.814649,critical
PRIVESC_000143,DEV_00001,USR_0084,exploit,user,admin,failure,2026-01-01T18:27:53.814657,critical
PRIVESC_000144,DEV_00169,USR_0015,sudo,user,admin,failure,2025-12-31T13:27:53.814665,critical
PRIVESC_000145,DEV_00085,USR_0121,selinux_bypass,user,admin,failure,2025-12-29T21:27:53.814673,critical
PRIVESC_000146,DEV_00042,USR_0046,exploit,user,admin,failure,2025-12-28T01:27:53.814681,critical
PRIVESC_000147,DEV_00103,USR_0062,exploit,guest,admin,failure,2025-12-30T20:27:53.814689,critical
PRIVESC_000148,DEV_00094,USR_0076,selinux_bypass,guest,admin,failure,2025-12-29T23:27:53.814697,critical
PRIVESC_000149,DEV_00051,USR_0110,sudo,guest,admin,success,2025-12-27T19:27:53.814710,critical
