event_id,device_id,process_name,process_id,parent_process_id,command_line,user_id,timestamp,severity,outcome
PROC_000056,DEV_00117,firefox.exe,4027,6217,C:\Windows\System32\firefox.exe /param 22,USR_0080,2025-12-28T21:27:53.753650,low,success
PROC_000057,DEV_00102,explorer.exe,7403,3125,C:\Windows\System32\explorer.exe /param 65,USR_0041,2025-12-30T05:27:53.753660,medium,success
PROC_000058,DEV_00148,lsass.exe,3479,4024,C:\Windows\System32\lsass.exe /param 85,USR_0024,2025-12-26T18:27:53.753670,low,success
PROC_000059,DEV_00107,winlogon.exe,4641,2383,C:\Windows\System32\winlogon.exe /param 15,USR_0113,2025-12-29T01:27:53.753679,low,denied
PROC_000060,DEV_00290,explorer.exe,6075,2813,C:\Windows\System32\explorer.exe /param 17,USR_0008,2025-12-30T04:27:53.753688,medium,denied
PROC_000061,DEV_00271,chrome.exe,6115,5223,C:\Windows\System32\chrome.exe /param 38,USR_0042,2025-12-28T15:27:53.753697,medium,success
PROC_000062,DEV_00002,explorer.exe,3914,246,C:\Windows\System32\explorer.exe /param 64,USR_0020,2025-12-26T21:27:53.753707,medium,success
PROC_000063,DEV_00092,explorer.exe,9476,5430,C:\Windows\System32\explorer.exe /param 58,USR_0046,2025-12-29T02:27:53.753716,medium,denied
PROC_000064,DEV_00220,chrome.exe,9414,9099,C:\Windows\System32\chrome.exe /param 59,USR_0104,2026-01-02T07:27:53.753725,medium,denied
PROC_000065,DEV_00047,firefox.exe,9378,8200,C:\Windows\System32\firefox.exe /param 17,USR_0129,2025-12-27T20:27:53.753734,medium,success
PROC_000066,DEV_00130,winlogon.exe,5784,9205,C:\Windows\System32\winlogon.exe /param 85,USR_0089,2025-12-27T05:27:53.753743,low,success
PROC_000067,DEV_00075,ncat. exe,9215,5526,C:\Windows\System32\ncat. exe /param 44,USR_0100,2025-12-30T06:27:53.753759,critical,denied
PROC_000068,DEV_00199,explorer.exe,8827,2392,C:\Windows\System32\explorer.exe /param 76,USR_0044,2025-12-29T04:27:53.753769,medium,denied
PROC_000069,DEV_00043,firefox.exe,9724,6527,C:\Windows\System32\firefox.exe /param 42,USR_0113,2025-12-27T18:27:53.753778,low,success
PROC_000070,DEV_00210,explorer.exe,2571,3289,C:\Windows\System32\explorer.exe /param 14,USR_0065,2026-01-02T10:27:53.753787,medium,denied
PROC_000071,DEV_00063,lsass.exe,8606,1734,C:\Windows\System32\lsass.exe /param 24,USR_0121,2026-01-02T05:27:53.753797,medium,success
PROC_000072,DEV_00220,chrome.exe,1027,380,C:\Windows\System32\chrome.exe /param 43,USR_0141,2025-12-31T22:27:53.753806,low,success
PROC_000073,DEV_00124,winlogon.exe,4771,1170,C:\Windows\System32\winlogon.exe /param 67,USR_0027,2025-12-30T15:27:53.753816,medium,denied
PROC_000074,DEV_00176,explorer.exe,1159,5020,C:\Windows\System32\explorer.exe /param 9,USR_0096,2025-12-28T08:27:53.753826,medium,success
PROC_000075,DEV_00131,winlogon.exe,1368,1698,C:\Windows\System32\winlogon.exe /param 70,USR_0115,2026-01-01T03:27:53.753835,low,denied
PROC_000076,DEV_00105,chrome.exe,873,3275,C:\Windows\System32\chrome.exe /param 47,USR_0098,2025-12-30T00:27:53.753847,medium,success
PROC_000077,DEV_00036,chrome.exe,161,8178,C:\Windows\System32\chrome.exe /param 63,USR_0134,2025-12-30T12:27:53.753858,medium,success
PROC_000078,DEV_00117,explorer.exe,10000,5576,C:\Windows\System32\explorer.exe /param 94,USR_0063,2025-12-31T19:27:53.753867,medium,denied
PROC_000079,DEV_00007,lsass.exe,4410,2394,C:\Windows\System32\lsass.exe /param 48,USR_0116,2026-01-01T04:27:53.753876,low,denied
PROC_000080,DEV_00213,svchost.exe,9800,4613,C:\Windows\System32\svchost.exe /param 58,USR_0069,2025-12-29T16:27:53.753886,medium,success
PROC_000081,DEV_00168,winlogon.exe,4198,6863,C:\Windows\System32\winlogon.exe /param 83,USR_0084,2025-12-28T01:27:53.753894,low,denied
PROC_000082,DEV_00031,lsass.exe,6798,2399,C:\Windows\System32\lsass.exe /param 9,USR_0044,2026-01-02T02:27:53.753903,low,denied
PROC_000083,DEV_00007,lsass.exe,4040,7823,C:\Windows\System32\lsass.exe /param 14,USR_0013,2026-01-02T09:27:53.753912,medium,success
PROC_000084,DEV_00048,lsass.exe,1578,2579,C:\Windows\System32\lsass.exe /param 7,USR_0067,2026-01-02T08:27:53.753921,low,success
PROC_000085,DEV_00208,winlogon.exe,3721,1259,C:\Windows\System32\winlogon.exe /param 43,USR_0130,2025-12-29T06:27:53.753930,medium,success
PROC_000086,DEV_00157,explorer.exe,2727,3571,C:\Windows\System32\explorer.exe /param 15,USR_0023,2025-12-31T02:27:53.753942,low,denied
PROC_000087,DEV_00054,svchost.exe,9140,3972,C:\Windows\System32\svchost.exe /param 4,USR_0131,2025-12-29T15:27:53.753951,medium,success
PROC_000088,DEV_00245,mimikatz. exe,2613,7148,C:\Windows\System32\mimikatz. exe /param 63,USR_0125,2026-01-02T12:27:53.753961,critical,denied
PROC_000089,DEV_00138,psexec.exe,8645,3043,C:\Windows\System32\psexec.exe /param 33,USR_0137,2025-12-28T00:27:53.753970,critical,success
PROC_000090,DEV_00045,firefox.exe,8824,3109,C:\Windows\System32\firefox.exe /param 87,USR_0016,2025-12-30T20:27:53.753984,medium,success
PROC_000091,DEV_00042,chrome.exe,8149,4687,C:\Windows\System32\chrome.exe /param 76,USR_0131,2026-01-02T14:27:53.753993,low,success
PROC_000092,DEV_00212,lsass.exe,4242,7784,C:\Windows\System32\lsass.exe /param 72,USR_0090,2025-12-28T13:27:53.754014,low,denied
PROC_000093,DEV_00168,psexec.exe,7264,937,C:\Windows\System32\psexec.exe /param 12,USR_0056,2026-01-01T16:27:53.754024,critical,success
PROC_000094,DEV_00066,winlogon.exe,3788,2892,C:\Windows\System32\winlogon.exe /param 36,USR_0118,2026-01-01T06:27:53.754033,low,denied
PROC_000095,DEV_00060,firefox.exe,5027,6691,C:\Windows\System32\firefox.exe /param 29,USR_0080,2025-12-28T01:27:53.754046,low,denied
PROC_000096,DEV_00044,chrome.exe,3803,5254,C:\Windows\System32\chrome.exe /param 0,USR_0038,2025-12-28T00:27:53.754056,medium,denied
PROC_000097,DEV_00003,winlogon.exe,7276,3654,C:\Windows\System32\winlogon.exe /param 44,USR_0053,2025-12-29T06:27:53.754065,medium,denied
PROC_000098,DEV_00195,firefox.exe,1142,7367,C:\Windows\System32\firefox.exe /param 80,USR_0011,2025-12-31T18:27:53.754074,medium,denied
PROC_000099,DEV_00240,lsass.exe,1524,430,C:\Windows\System32\lsass.exe /param 57,USR_0043,2025-12-30T23:27:53.754084,low,success
PROC_000100,DEV_00162,firefox.exe,7934,184,C:\Windows\System32\firefox.exe /param 13,USR_0007,2025-12-31T04:27:53.754093,medium,denied
PROC_000101,DEV_00240,winlogon.exe,8798,7159,C:\Windows\System32\winlogon.exe /param 85,USR_0082,2025-12-27T10:27:53.754102,medium,denied
PROC_000102,DEV_00206,svchost.exe,3142,2942,C:\Windows\System32\svchost.exe /param 13,USR_0149,2025-12-28T21:27:53.754112,medium,denied
PROC_000103,DEV_00206,lsass.exe,7759,1518,C:\Windows\System32\lsass.exe /param 76,USR_0016,2025-12-29T08:27:53.754121,low,denied
PROC_000104,DEV_00172,explorer.exe,2644,4654,C:\Windows\System32\explorer.exe /param 50,USR_0040,2025-12-27T11:27:53.754129,low,denied
PROC_000105,DEV_00196,explorer.exe,1284,1223,C:\Windows\System32\explorer.exe /param 80,USR_0149,2025-12-30T11:27:53.754141,medium,denied
PROC_000106,DEV_00077,chrome.exe,8540,7366,C:\Windows\System32\chrome.exe /param 61,USR_0099,2026-01-01T10:27:53.754151,medium,success
PROC_000107,DEV_00222,chrome.exe,3779,1288,C:\Windows\System32\chrome.exe /param 36,USR_0001,2026-01-02T16:27:53.754160,medium,success
PROC_000108,DEV_00093,winlogon.exe,7909,3591,C:\Windows\System32\winlogon.exe /param 55,USR_0008,2025-12-29T18:27:53.754169,medium,success
PROC_000109,DEV_00228,impacket,4747,4633,C:\Windows\System32\impacket /param 43,USR_0046,2025-12-31T02:27:53.754178,critical,denied
PROC_000110,DEV_00132,chrome.exe,9749,8939,C:\Windows\System32\chrome.exe /param 46,USR_0021,2026-01-01T08:27:53.754188,medium,denied
PROC_000111,DEV_00207,psexec.exe,5714,5778,C:\Windows\System32\psexec.exe /param 77,USR_0082,2025-12-29T06:27:53.754197,critical,success
PROC_000112,DEV_00127,psexec.exe,1946,4499,C:\Windows\System32\psexec.exe /param 22,USR_0096,2025-12-29T14:27:53.754206,critical,success
PROC_000113,DEV_00099,firefox.exe,7835,3439,C:\Windows\System32\firefox.exe /param 31,USR_0027,2025-12-28T08:27:53.754215,low,denied
PROC_000114,DEV_00270,winlogon.exe,5480,384,C:\Windows\System32\winlogon.exe /param 35,USR_0135,2025-12-29T20:27:53.754224,low,denied
PROC_000115,DEV_00263,svchost.exe,596,2753,C:\Windows\System32\svchost.exe /param 94,USR_0016,2025-12-28T07:27:53.754247,low,success
PROC_000116,DEV_00133,ncat. exe,6933,4660,C:\Windows\System32\ncat. exe /param 51,USR_0097,2025-12-30T18:27:53.754257,critical,success
PROC_000117,DEV_00157,explorer.exe,7905,5393,C:\Windows\System32\explorer.exe /param 98,USR_0076,2025-12-31T09:27:53.754265,low,success
PROC_000118,DEV_00239,explorer.exe,1450,7434,C:\Windows\System32\explorer.exe /param 39,USR_0128,2025-12-26T22:27:53.754275,medium,success
PROC_000119,DEV_00188,chrome.exe,4439,7634,C:\Windows\System32\chrome.exe /param 21,USR_0056,2025-12-29T01:27:53.754284,medium,denied
PROC_000120,DEV_00043,winlogon.exe,1278,4548,C:\Windows\System32\winlogon.exe /param 63,USR_0004,2025-12-31T22:27:53.754293,medium,denied
PROC_000121,DEV_00133,explorer.exe,9742,8693,C:\Windows\System32\explorer.exe /param 84,USR_0100,2026-01-01T22:27:53.754301,medium,success
PROC_000122,DEV_00054,lsass.exe,9131,2085,C:\Windows\System32\lsass.exe /param 32,USR_0107,2025-12-29T23:27:53.754311,medium,success
PROC_000123,DEV_00141,explorer.exe,4202,666,C:\Windows\System32\explorer.exe /param 0,USR_0024,2026-01-01T05:27:53.754320,low,success
PROC_000124,DEV_00080,chrome.exe,5967,5148,C:\Windows\System32\chrome.exe /param 67,USR_0032,2025-12-28T19:27:53.754329,medium,success
PROC_000125,DEV_00208,firefox.exe,1256,2449,C:\Windows\System32\firefox.exe /param 73,USR_0053,2025-12-30T16:27:53.754338,low,success
PROC_000126,DEV_00130,explorer.exe,7785,4237,C:\Windows\System32\explorer.exe /param 47,USR_0109,2026-01-02T01:27:53.754347,low,success
PROC_000127,DEV_00213,explorer.exe,674,6670,C:\Windows\System32\explorer.exe /param 19,USR_0007,2025-12-27T02:27:53.754355,medium,denied
PROC_000128,DEV_00104,impacket,9186,6338,C:\Windows\System32\impacket /param 32,USR_0142,2025-12-27T07:27:53.754364,critical,denied
PROC_000129,DEV_00050,lsass.exe,9925,7233,C:\Windows\System32\lsass.exe /param 52,USR_0010,2026-01-02T16:27:53.754378,low,denied
PROC_000130,DEV_00231,firefox.exe,580,1185,C:\Windows\System32\firefox.exe /param 100,USR_0063,2025-12-31T13:27:53.754388,low,success
PROC_000131,DEV_00098,chrome.exe,3018,5957,C:\Windows\System32\chrome.exe /param 61,USR_0087,2026-01-01T18:27:53.754397,low,success
PROC_000132,DEV_00287,explorer.exe,943,2116,C:\Windows\System32\explorer.exe /param 85,USR_0089,2025-12-30T10:27:53.754409,low,success
PROC_000133,DEV_00163,winlogon.exe,6803,9348,C:\Windows\System32\winlogon.exe /param 84,USR_0084,2025-12-27T09:27:53.754418,low,denied
PROC_000134,DEV_00052,lsass.exe,9981,8971,C:\Windows\System32\lsass.exe /param 72,USR_0090,2025-12-30T13:27:53.754429,low,denied
PROC_000135,DEV_00215,explorer.exe,1617,5621,C:\Windows\System32\explorer.exe /param 66,USR_0099,2025-12-31T07:27:53.754438,medium,success
PROC_000136,DEV_00296,chrome.exe,4121,5692,C:\Windows\System32\chrome.exe /param 63,USR_0150,2026-01-02T01:27:53.754448,low,denied
PROC_000137,DEV_00093,lsass.exe,4003,9531,C:\Windows\System32\lsass.exe /param 87,USR_0035,2025-12-27T10:27:53.754459,low,denied
PROC_000138,DEV_00096,firefox.exe,2191,8152,C:\Windows\System32\firefox.exe /param 53,USR_0083,2026-01-01T23:27:53.754468,medium,success
PROC_000139,DEV_00154,mimikatz. exe,395,8262,C:\Windows\System32\mimikatz. exe /param 83,USR_0049,2026-01-01T10:27:53.754478,critical,success
PROC_000140,DEV_00196,svchost.exe,7974,8110,C:\Windows\System32\svchost.exe /param 51,USR_0118,2025-12-29T03:27:53.754486,medium,success
PROC_000141,DEV_00295,explorer.exe,1285,567,C:\Windows\System32\explorer.exe /param 37,USR_0064,2025-12-31T00:27:53.754495,medium,success
PROC_000142,DEV_00018,svchost.exe,4219,8273,C:\Windows\System32\svchost.exe /param 80,USR_0046,2025-12-31T13:27:53.754504,medium,success
PROC_000143,DEV_00246,firefox.exe,1427,1713,C:\Windows\System32\firefox.exe /param 33,USR_0113,2025-12-26T22:27:53.754513,medium,success
PROC_000144,DEV_00157,chrome.exe,5455,7206,C:\Windows\System32\chrome.exe /param 35,USR_0034,2025-12-29T10:27:53.754522,low,denied
PROC_000145,DEV_00102,winlogon.exe,5898,9921,C:\Windows\System32\winlogon.exe /param 13,USR_0090,2026-01-01T11:27:53.754530,medium,success
PROC_000146,DEV_00195,explorer.exe,8531,7306,C:\Windows\System32\explorer.exe /param 88,USR_0019,2025-12-27T14:27:53.754539,medium,denied
PROC_000147,DEV_00171,lsass.exe,3046,4144,C:\Windows\System32\lsass.exe /param 2,USR_0030,2025-12-26T23:27:53.754548,medium,success
PROC_000148,DEV_00253,explorer.exe,2525,7754,C:\Windows\System32\explorer.exe /param 50,USR_0109,2025-12-29T18:27:53.754558,low,success
PROC_000149,DEV_00211,svchost.exe,7390,4943,C:\Windows\System32\svchost.exe /param 92,USR_0079,2026-01-02T05:27:53.754568,low,success
PROC_000150,DEV_00141,winlogon.exe,4258,4282,C:\Windows\System32\winlogon.exe /param 93,USR_0110,2025-12-27T15:27:53.754577,medium,success
PROC_000151,DEV_00083,winlogon.exe,6969,4672,C:\Windows\System32\winlogon.exe /param 80,USR_0091,2026-01-02T05:27:53.754586,medium,success
PROC_000152,DEV_00295,explorer.exe,4190,2145,C:\Windows\System32\explorer.exe /param 76,USR_0067,2025-12-29T00:27:53.754594,low,success
PROC_000153,DEV_00124,svchost.exe,8700,8760,C:\Windows\System32\svchost.exe /param 91,USR_0012,2025-12-28T14:27:53.754603,medium,success
PROC_000154,DEV_00207,lsass.exe,9405,1134,C:\Windows\System32\lsass.exe /param 67,USR_0086,2026-01-01T21:27:53.754615,low,denied
PROC_000155,DEV_00263,explorer.exe,5047,3846,C:\Windows\System32\explorer.exe /param 72,USR_0014,2025-12-26T22:27:53.754624,low,success
PROC_000156,DEV_00182,winlogon.exe,2578,4494,C:\Windows\System32\winlogon.exe /param 71,USR_0049,2026-01-01T12:27:53.754633,low,success
PROC_000157,DEV_00165,lsass.exe,9480,6529,C:\Windows\System32\lsass.exe /param 69,USR_0073,2025-12-29T21:27:53.754642,low,denied
PROC_000158,DEV_00066,chrome.exe,2863,6735,C:\Windows\System32\chrome.exe /param 2,USR_0126,2026-01-01T13:27:53.754651,medium,denied
PROC_000159,DEV_00011,winlogon.exe,2317,9143,C:\Windows\System32\winlogon.exe /param 41,USR_0017,2025-12-31T14:27:53.754660,medium,success
PROC_000160,DEV_00009,firefox.exe,1960,4007,C:\Windows\System32\firefox.exe /param 56,USR_0055,2025-12-27T19:27:53.754669,medium,denied
PROC_000161,DEV_00164,svchost.exe,4019,5362,C:\Windows\System32\svchost.exe /param 71,USR_0076,2025-12-27T05:27:53.754678,medium,denied
PROC_000162,DEV_00090,winlogon.exe,9562,1596,C:\Windows\System32\winlogon.exe /param 27,USR_0080,2025-12-29T21:27:53.754687,medium,success
PROC_000163,DEV_00296,chrome.exe,2456,6434,C:\Windows\System32\chrome.exe /param 9,USR_0102,2025-12-28T14:27:53.754696,low,denied
PROC_000164,DEV_00136,chrome.exe,5107,6622,C:\Windows\System32\chrome.exe /param 70,USR_0096,2025-12-28T23:27:53.754705,medium,denied
PROC_000165,DEV_00239,chrome.exe,4117,4458,C:\Windows\System32\chrome.exe /param 4,USR_0091,2025-12-28T00:27:53.754714,medium,success
PROC_000166,DEV_00019,winlogon.exe,5042,7024,C:\Windows\System32\winlogon.exe /param 66,USR_0054,2025-12-31T18:27:53.754723,low,success
PROC_000167,DEV_00237,lsass.exe,8213,1487,C:\Windows\System32\lsass.exe /param 39,USR_0092,2025-12-30T02:27:53.754732,medium,success
PROC_000168,DEV_00157,explorer.exe,9519,9532,C:\Windows\System32\explorer.exe /param 71,USR_0101,2025-12-29T06:27:53.754741,low,denied
PROC_000169,DEV_00228,firefox.exe,7543,3239,C:\Windows\System32\firefox.exe /param 60,USR_0005,2025-12-28T23:27:53.754753,low,denied
PROC_000170,DEV_00103,winlogon.exe,746,446,C:\Windows\System32\winlogon.exe /param 95,USR_0046,2025-12-27T16:27:53.754763,medium,success
PROC_000171,DEV_00211,lsass.exe,4789,2994,C:\Windows\System32\lsass.exe /param 92,USR_0017,2025-12-29T14:27:53.754775,low,denied
PROC_000172,DEV_00043,winlogon.exe,5818,8159,C:\Windows\System32\winlogon.exe /param 63,USR_0040,2026-01-02T15:27:53.754785,low,denied
PROC_000173,DEV_00054,chrome.exe,6804,1410,C:\Windows\System32\chrome.exe /param 55,USR_0078,2025-12-29T17:27:53.754797,low,denied
PROC_000174,DEV_00115,chrome.exe,1267,6570,C:\Windows\System32\chrome.exe /param 10,USR_0032,2025-12-27T07:27:53.754806,low,denied
PROC_000175,DEV_00267,svchost.exe,2312,7320,C:\Windows\System32\svchost.exe /param 83,USR_0137,2026-01-01T23:27:53.754816,medium,success
PROC_000176,DEV_00275,explorer.exe,7935,5988,C:\Windows\System32\explorer.exe /param 30,USR_0124,2026-01-01T18:27:53.754825,low,denied
PROC_000177,DEV_00086,winlogon.exe,4068,7258,C:\Windows\System32\winlogon.exe /param 21,USR_0101,2025-12-30T18:27:53.754834,low,denied
PROC_000178,DEV_00114,svchost.exe,9007,8650,C:\Windows\System32\svchost.exe /param 43,USR_0092,2025-12-28T13:27:53.754844,medium,denied
PROC_000179,DEV_00066,svchost.exe,7604,7439,C:\Windows\System32\svchost.exe /param 26,USR_0005,2026-01-01T06:27:53.754853,medium,success
PROC_000180,DEV_00220,mimikatz. exe,7035,5994,C:\Windows\System32\mimikatz. exe /param 4,USR_0132,2025-12-28T21:27:53.754861,critical,denied
PROC_000181,DEV_00177,winlogon.exe,9554,2276,C:\Windows\System32\winlogon.exe /param 82,USR_0010,2025-12-30T08:27:53.754869,low,success
PROC_000182,DEV_00249,winlogon.exe,8453,9128,C:\Windows\System32\winlogon.exe /param 70,USR_0117,2025-12-31T00:27:53.754879,low,denied
PROC_000183,DEV_00133,svchost.exe,2075,8553,C:\Windows\System32\svchost.exe /param 15,USR_0018,2025-12-30T17:27:53.754887,low,success
PROC_000184,DEV_00248,explorer.exe,9763,7342,C:\Windows\System32\explorer.exe /param 44,USR_0107,2025-12-28T02:27:53.754897,low,success
